# ESO spectrophotometric standard stars
# Coordinates: https://www.eso.org/sci/observing/tools/standards/spectra/stanlis.html
# Flux spectra: XShooter (Moehler+2014, https://ftp.eso.org/pub/stecf/standards/Xshooter/) preferred, else Oke 1990 (https://ftp.eso.org/pub/stecf/standards/okestan/)
# flux_scale multiplies column 2 of flux_file to give erg/s/cm2/A.
# Generated by llamas_pyjamas.Scripts.fetch_standards
#
# name                ra_deg     dec_deg   vmag   sptype flux_scale  flux_file
HR9087              0.455917   -3.027500   5.12    B7III          -  -
G158-100            8.476333  -12.132528  14.89     dG-K      1e-16  fg158_100.dat
HR153               9.242917  +53.896917   3.66     B2IV          -  -
CD-34d241          10.445500  -33.652361  11.23        F          -  -
BPM16274           12.513250  -52.138167  14.20      DA2          -  -
LTT1020            28.707000  -27.474917  11.52        G          -  -
HR718              37.039750   +8.460056   4.28    B9III          -  -
EG21               47.629083  -68.600611  11.38       DA          -  -
LTT1788            57.092375  -39.142667  13.16        F          -  -
GD50               57.208583   -0.975111  14.06      DA2      1e-16  fgd50.dat
SA95-42            58.431958   -0.075833  15.61       DA      1e-16  fsa95_42.dat
HZ4                58.840417   +9.788528  14.52      DA4      1e-16  fhz4.dat
LB227              62.369833  +17.131778  15.34      DA4          -  -
HZ2                63.181292  +11.864000  13.86      DA3          -  -
HR1544             72.652875   +8.900194   4.36      A1V          -  -
G191-B2B           76.377583  +52.831667  11.78      DA1      1e-16  fg191b2b.dat
HR1996             86.499667  -32.306500   5.17      O9V          -  -
GD71               88.114625  +15.887944  13.03      DA1      1e+00  xsh_fGD71.dat
LTT2415            89.101250  -27.858000  12.21        -          -  -
HILT600           101.305542   +2.137250  10.44       B1          -  -
HD49798           102.019333  -44.316472   8.30       O6          -  -
HD60753           113.363583  -50.584361   6.70     B3IV          -  -
G193-74           118.364167  +52.493250  15.70      DA0      1e-16  fg193_74.dat
BD+75d325         122.705458  +74.965972   9.54      O5p      1e-16  fbd75d325.dat
LTT3218           130.384875  -32.942472  11.86       DA      1e+00  xsh_fLTT3218.dat
HR3454            130.806083   +3.398639   4.30      B3V          -  -
AGK+81d266        140.329417  +81.724611  11.92      sdO          -  -
GD108             150.197208   -7.558667  13.56      sdB      1e-16  fgd108.dat
LTT3864           158.057917  -35.628444  12.17        F          -  -
Feige34           159.902958  +43.102806  11.18       DO      1e-16  ffeige34.dat
HD93521           162.097958  +37.570222   7.04     O9Vp      1e-16  fhd93521.dat
HR4468            174.170458   -9.802278   4.70    B9.5V          -  -
LTT4364           176.428833  -64.841528  11.50       C2          -  -
HR4554            178.457625  +53.694750   2.44      A0V          -  -
Feige56           181.696875  +11.670194  11.06      B5p          -  -
HZ21              183.485083  +32.941889  14.68      DO2      1e-16  fhz21.dat
Feige66           189.348125  +25.066750  10.50      sdO      1e-16  ffeige66.dat
LTT4816           189.712250  -49.799667  13.79       DA          -  -
Feige67           190.465958  +17.522361  11.81      sdO      1e-16  ffeige67.dat
GD153             194.259875  +22.032222  13.35      DA1      1e+00  xsh_fGD153.dat
G60-54            195.039708   +3.482139  15.81       DC      1e-16  fg60_54.dat
HR4963            197.487333   -5.539028   4.38     A1IV          -  -
HZ43              199.091625  +29.099167  12.91      DA1          -  -
HZ44              200.897375  +36.133333  11.66      sdO      1e-16  fhz44.dat
GRW+70d5824       204.715708  +70.285694  12.77      DA3      1e-16  fgrw70d5824.dat
HR5191            206.885167  +49.313333   1.86      B3V          -  -
CD-32d9927        212.943208  -33.053972  10.42       A0          -  -
HR5501            221.376042   +0.717417   5.68    B9.5V          -  -
LTT6248           234.750083  -28.592528  11.80        A          -  -
BD+33d2642        237.999417  +32.948556  10.81     B2IV      1e-16  fbd33d2642.dat
EG274             245.890625  -39.229861  11.03       DA      1e+00  xsh_fEG274.dat
G138-31           246.973292   +9.206806  16.14       DC      1e-16  fg138_31.dat
LTT7379           279.109542  -44.309167  10.23       G0          -  -
HR7001            279.234708  +38.783639   0.00      A0V          -  -
HR7596            298.686667   +0.273500   5.62    A0III          -  -
LTT7987           302.739083  -30.217000  12.23       DA      1e+00  xsh_fLTT7987.dat
G24-9             303.483542   +6.715333  15.72       DC      1e-16  fg24_9.dat
HR7950            311.918958   -9.495750   3.78      A1V          -  -
LDS749B           323.065625   +0.253778  14.67      DB4          -  -
BD+28d4211        327.796125  +28.864389  10.51       Op      1e-16  fbd28d4211.dat
G93-48            328.105542   +2.390083  12.74      DA3          -  -
BD+25d4655        329.925083  +26.432806   9.76        O      1e-16  fbd25d4655.dat
NGC7293           337.410250  -20.837028  13.51    V.Hot      1e-16  fngc7293.dat
HR8634            340.365167  +10.831444   3.40      B8V          -  -
LTT9239           343.170333  -20.590639  12.07        F          -  -
LTT9491           349.895750  -17.091611  14.11       DC      1e-16  fltt9491.dat
Feige110          349.993292   -5.165500  11.82      DOp      1e+00  xsh_fFeige110.dat
GD248             351.527875  +16.005944  15.09       DC      1e-16  fgd248.dat
